model,category,language,prompt_id,expected_videos,available_videos,missing_videos,status,candidate_videos_found
genie3,illegal_behavior,en,1,18,18,0,complete,18
genie3,illegal_behavior,en,2,18,18,0,complete,18
genie3,illegal_behavior,en,3,18,18,0,complete,18
genie3,illegal_behavior,en,4,18,18,0,complete,18
genie3,illegal_behavior,en,5,18,18,0,complete,18
genie3,illegal_behavior,en,6,18,18,0,complete,18
genie3,illegal_behavior,en,7,18,18,0,complete,18
genie3,illegal_behavior,en,8,18,18,0,complete,18
genie3,illegal_behavior,en,9,18,18,0,complete,18
genie3,illegal_behavior,en,10,18,18,0,complete,18
genie3,illegal_behavior,zh,1,18,18,0,complete,18
genie3,illegal_behavior,zh,2,18,18,0,complete,18
genie3,illegal_behavior,zh,3,18,18,0,complete,18
genie3,illegal_behavior,zh,4,18,18,0,complete,18
genie3,illegal_behavior,zh,5,18,18,0,complete,18
genie3,illegal_behavior,zh,6,18,18,0,complete,18
genie3,illegal_behavior,zh,7,18,18,0,complete,18
genie3,illegal_behavior,zh,8,18,18,0,complete,18
genie3,illegal_behavior,zh,9,18,18,0,complete,18
genie3,illegal_behavior,zh,10,18,18,0,complete,18
genie3,occupation,en,1,18,18,0,complete,18
genie3,occupation,en,2,18,18,0,complete,18
genie3,occupation,en,3,18,18,0,complete,18
genie3,occupation,en,4,18,18,0,complete,18
genie3,occupation,en,5,18,18,0,complete,18
genie3,occupation,en,6,18,18,0,complete,18
genie3,occupation,en,7,18,18,0,complete,18
genie3,occupation,en,8,18,18,0,complete,18
genie3,occupation,en,9,18,18,0,complete,18
genie3,occupation,en,10,18,18,0,complete,18
genie3,occupation,zh,1,18,18,0,complete,18
genie3,occupation,zh,2,18,18,0,complete,18
genie3,occupation,zh,3,18,18,0,complete,18
genie3,occupation,zh,4,18,18,0,complete,18
genie3,occupation,zh,5,18,18,0,complete,18
genie3,occupation,zh,6,18,18,0,complete,18
genie3,occupation,zh,7,18,18,0,complete,18
genie3,occupation,zh,8,18,18,0,complete,18
genie3,occupation,zh,9,18,18,0,complete,18
genie3,occupation,zh,10,18,18,0,complete,18
genie3,personality,en,1,18,18,0,complete,18
genie3,personality,en,2,18,18,0,complete,18
genie3,personality,en,3,18,18,0,complete,18
genie3,personality,en,4,18,18,0,complete,18
genie3,personality,en,5,18,18,0,complete,18
genie3,personality,en,6,18,18,0,complete,18
genie3,personality,en,7,18,18,0,complete,18
genie3,personality,en,8,18,18,0,complete,18
genie3,personality,en,9,18,18,0,complete,18
genie3,personality,en,10,18,18,0,complete,18
genie3,personality,zh,1,18,18,0,complete,19
genie3,personality,zh,2,18,18,0,complete,18
genie3,personality,zh,3,18,18,0,complete,18
genie3,personality,zh,4,18,18,0,complete,18
genie3,personality,zh,5,18,18,0,complete,18
genie3,personality,zh,6,18,18,0,complete,18
genie3,personality,zh,7,18,18,0,complete,18
genie3,personality,zh,8,18,18,0,complete,18
genie3,personality,zh,9,18,18,0,complete,18
genie3,personality,zh,10,18,18,0,complete,18
genie3,social_distance,en,1,18,18,0,complete,18
genie3,social_distance,en,2,18,18,0,complete,18
genie3,social_distance,en,3,18,18,0,complete,18
genie3,social_distance,en,4,18,18,0,complete,18
genie3,social_distance,en,5,18,18,0,complete,18
genie3,social_distance,en,6,18,18,0,complete,18
genie3,social_distance,en,7,18,18,0,complete,18
genie3,social_distance,en,8,18,18,0,complete,18
genie3,social_distance,en,9,18,18,0,complete,18
genie3,social_distance,en,10,18,18,0,complete,18
genie3,social_distance,zh,1,18,18,0,complete,18
genie3,social_distance,zh,2,18,18,0,complete,18
genie3,social_distance,zh,3,18,18,0,complete,18
genie3,social_distance,zh,4,18,18,0,complete,18
genie3,social_distance,zh,5,18,18,0,complete,18
genie3,social_distance,zh,6,18,18,0,complete,18
genie3,social_distance,zh,7,18,18,0,complete,18
genie3,social_distance,zh,8,18,18,0,complete,18
genie3,social_distance,zh,9,18,18,0,complete,18
