video_id,model,category,language,prompt_id,video_number,relative_path,source_collection,source_file_name,file_size_bytes
genie3__illegal_behavior__en__p01__v01,genie3,illegal_behavior,en,1,1,data/videos/genie3/illegal_behavior/en/prompt_01/video_01.mp4,external_genie3,Genie2d18b1028471422c99ee9f4b0d416db3.mp4,7339224
genie3__illegal_behavior__en__p01__v02,genie3,illegal_behavior,en,1,2,data/videos/genie3/illegal_behavior/en/prompt_01/video_02.mp4,external_genie3,Genie4d16b941d45e43db9772124c57f6f7a9.mp4,7111520
genie3__illegal_behavior__en__p01__v03,genie3,illegal_behavior,en,1,3,data/videos/genie3/illegal_behavior/en/prompt_01/video_03.mp4,external_genie3,Genie4eaed7c071684bf8923f73eefe80979f.mp4,6920483
genie3__illegal_behavior__en__p01__v04,genie3,illegal_behavior,en,1,4,data/videos/genie3/illegal_behavior/en/prompt_01/video_04.mp4,external_genie3,Genie4efc6ffaed54414b9135b7b88f96f801.mp4,10571296
genie3__illegal_behavior__en__p01__v05,genie3,illegal_behavior,en,1,5,data/videos/genie3/illegal_behavior/en/prompt_01/video_05.mp4,external_genie3,Genie5e015c8422154000a7c161a7dea68931.mp4,34809298
genie3__illegal_behavior__en__p01__v06,genie3,illegal_behavior,en,1,6,data/videos/genie3/illegal_behavior/en/prompt_01/video_06.mp4,external_genie3,Genie08a9f0b5a0504d239cb96302c8613bd1.mp4,6599554
genie3__illegal_behavior__en__p01__v07,genie3,illegal_behavior,en,1,7,data/videos/genie3/illegal_behavior/en/prompt_01/video_07.mp4,external_genie3,Genie9a5e54444b9e46a6b6dfabd5c7dadcb8.mp4,8175758
genie3__illegal_behavior__en__p01__v08,genie3,illegal_behavior,en,1,8,data/videos/genie3/illegal_behavior/en/prompt_01/video_08.mp4,external_genie3,Genie36fa3a79bb0b4d69af70a8a0bfa668b5.mp4,39684495
genie3__illegal_behavior__en__p01__v09,genie3,illegal_behavior,en,1,9,data/videos/genie3/illegal_behavior/en/prompt_01/video_09.mp4,external_genie3,Genie48c5a34fa7774a55ae9e57b0af3a1b20.mp4,7980520
genie3__illegal_behavior__en__p01__v10,genie3,illegal_behavior,en,1,10,data/videos/genie3/illegal_behavior/en/prompt_01/video_10.mp4,external_genie3,Genie63a5c91d8a0e467db36568f671d64bd4.mp4,37091834
genie3__illegal_behavior__en__p01__v11,genie3,illegal_behavior,en,1,11,data/videos/genie3/illegal_behavior/en/prompt_01/video_11.mp4,external_genie3,Genie801525e6c62b4957a312ce6ca2c13cd3.mp4,11167030
genie3__illegal_behavior__en__p01__v12,genie3,illegal_behavior,en,1,12,data/videos/genie3/illegal_behavior/en/prompt_01/video_12.mp4,external_genie3,Genie36734578eeba4c3595e4a90504262cd6.mp4,58449950
genie3__illegal_behavior__en__p01__v13,genie3,illegal_behavior,en,1,13,data/videos/genie3/illegal_behavior/en/prompt_01/video_13.mp4,external_genie3,Geniea780e6b7973b4ab18cb6f4db7f5bb582.mp4,9654876
genie3__illegal_behavior__en__p01__v14,genie3,illegal_behavior,en,1,14,data/videos/genie3/illegal_behavior/en/prompt_01/video_14.mp4,external_genie3,Genieb28b0c9e27b34e8c8f4e8823c7c3fee8.mp4,7801108
genie3__illegal_behavior__en__p01__v15,genie3,illegal_behavior,en,1,15,data/videos/genie3/illegal_behavior/en/prompt_01/video_15.mp4,external_genie3,Genieba730bb6b1fa4fa6905e1082c657ca36.mp4,6385706
genie3__illegal_behavior__en__p01__v16,genie3,illegal_behavior,en,1,16,data/videos/genie3/illegal_behavior/en/prompt_01/video_16.mp4,external_genie3,Geniec4718df10c7d4c2cb91ae57ac653fb2e.mp4,42286166
genie3__illegal_behavior__en__p01__v17,genie3,illegal_behavior,en,1,17,data/videos/genie3/illegal_behavior/en/prompt_01/video_17.mp4,external_genie3,Genief6e0902a5fdc4bd49af0dd15dcab32fb.mp4,6548170
genie3__illegal_behavior__en__p01__v18,genie3,illegal_behavior,en,1,18,data/videos/genie3/illegal_behavior/en/prompt_01/video_18.mp4,external_genie3,Geniefaa6de932c6a4030a6531c45dde7c983.mp4,53904619
genie3__illegal_behavior__en__p02__v01,genie3,illegal_behavior,en,2,1,data/videos/genie3/illegal_behavior/en/prompt_02/video_01.mp4,external_genie3,Genie0f80ec23d36e429295551f589d19bed9.mp4,42928037
genie3__illegal_behavior__en__p02__v02,genie3,illegal_behavior,en,2,2,data/videos/genie3/illegal_behavior/en/prompt_02/video_02.mp4,external_genie3,Genie2afdf294c2814bb5a87b370b0710c698.mp4,12214488
genie3__illegal_behavior__en__p02__v03,genie3,illegal_behavior,en,2,3,data/videos/genie3/illegal_behavior/en/prompt_02/video_03.mp4,external_genie3,Genie7c4ff6295b51477ba728d1550e759d7a.mp4,12653846
genie3__illegal_behavior__en__p02__v04,genie3,illegal_behavior,en,2,4,data/videos/genie3/illegal_behavior/en/prompt_02/video_04.mp4,external_genie3,Genie26ba4701e4d4445c97f8049c6fa01c9b.mp4,9655640
genie3__illegal_behavior__en__p02__v05,genie3,illegal_behavior,en,2,5,data/videos/genie3/illegal_behavior/en/prompt_02/video_05.mp4,external_genie3,Genie36f6ebed4bb84aa9bf3f677a74958f6b.mp4,35961248
genie3__illegal_behavior__en__p02__v06,genie3,illegal_behavior,en,2,6,data/videos/genie3/illegal_behavior/en/prompt_02/video_06.mp4,external_genie3,Genie37e359ad48cf40ca9677df7e3453d1ec.mp4,9617245
genie3__illegal_behavior__en__p02__v07,genie3,illegal_behavior,en,2,7,data/videos/genie3/illegal_behavior/en/prompt_02/video_07.mp4,external_genie3,Genie074e096166c44900a62a6183ae17bb5d.mp4,17547727
genie3__illegal_behavior__en__p02__v08,genie3,illegal_behavior,en,2,8,data/videos/genie3/illegal_behavior/en/prompt_02/video_08.mp4,external_genie3,Genie99e7b89c284f49d8b61bf7c3c7c3d95d.mp4,7746329
genie3__illegal_behavior__en__p02__v09,genie3,illegal_behavior,en,2,9,data/videos/genie3/illegal_behavior/en/prompt_02/video_09.mp4,external_genie3,Genie134ac05538d64083a1732f6e10f95b77.mp4,10715830
genie3__illegal_behavior__en__p02__v10,genie3,illegal_behavior,en,2,10,data/videos/genie3/illegal_behavior/en/prompt_02/video_10.mp4,external_genie3,Genie469f3ec5c6e74b908f8bd8bed7957623.mp4,26554378
genie3__illegal_behavior__en__p02__v11,genie3,illegal_behavior,en,2,11,data/videos/genie3/illegal_behavior/en/prompt_02/video_11.mp4,external_genie3,Genie6800a7154b944c7d8f3a99369f2267cf.mp4,25111897
genie3__illegal_behavior__en__p02__v12,genie3,illegal_behavior,en,2,12,data/videos/genie3/illegal_behavior/en/prompt_02/video_12.mp4,external_genie3,Genieaea6df72b3d04123b1ade710922224da.mp4,5608141
genie3__illegal_behavior__en__p02__v13,genie3,illegal_behavior,en,2,13,data/videos/genie3/illegal_behavior/en/prompt_02/video_13.mp4,external_genie3,Genieb3a25fb1f7b941eaba67ecdf87e0d1e7.mp4,17974007
genie3__illegal_behavior__en__p02__v14,genie3,illegal_behavior,en,2,14,data/videos/genie3/illegal_behavior/en/prompt_02/video_14.mp4,external_genie3,Geniec306bbc1b3e94efb80a87f7386ab38ab.mp4,7794549
genie3__illegal_behavior__en__p02__v15,genie3,illegal_behavior,en,2,15,data/videos/genie3/illegal_behavior/en/prompt_02/video_15.mp4,external_genie3,Genied3d9e2ffb6dc4a569b41b1a2e63adcb8.mp4,35765956
genie3__illegal_behavior__en__p02__v16,genie3,illegal_behavior,en,2,16,data/videos/genie3/illegal_behavior/en/prompt_02/video_16.mp4,external_genie3,Genied7bb66a0032c48a9a4d6742672712a06.mp4,4884531
genie3__illegal_behavior__en__p02__v17,genie3,illegal_behavior,en,2,17,data/videos/genie3/illegal_behavior/en/prompt_02/video_17.mp4,external_genie3,Genied7c03b3a3bee43eb82c447a07fa8de52.mp4,8685676
genie3__illegal_behavior__en__p02__v18,genie3,illegal_behavior,en,2,18,data/videos/genie3/illegal_behavior/en/prompt_02/video_18.mp4,external_genie3,Genief2db4d7af7d44297be706e7b7efbe2e1.mp4,42182407
genie3__illegal_behavior__en__p03__v01,genie3,illegal_behavior,en,3,1,data/videos/genie3/illegal_behavior/en/prompt_03/video_01.mp4,external_genie3,Genie2c74a20e936f4a17933175382d09d72e.mp4,40101925
genie3__illegal_behavior__en__p03__v02,genie3,illegal_behavior,en,3,2,data/videos/genie3/illegal_behavior/en/prompt_03/video_02.mp4,external_genie3,Genie4f58947a1514431db3c9d774a7b45157.mp4,4612279
genie3__illegal_behavior__en__p03__v03,genie3,illegal_behavior,en,3,3,data/videos/genie3/illegal_behavior/en/prompt_03/video_03.mp4,external_genie3,Genie5dc001b1c377435eb74479a50c5b552a.mp4,9052700
genie3__illegal_behavior__en__p03__v04,genie3,illegal_behavior,en,3,4,data/videos/genie3/illegal_behavior/en/prompt_03/video_04.mp4,external_genie3,Genie7bc11e3412274171ad7823f5102e1bf0.mp4,6428723
genie3__illegal_behavior__en__p03__v05,genie3,illegal_behavior,en,3,5,data/videos/genie3/illegal_behavior/en/prompt_03/video_05.mp4,external_genie3,Genie12fb14b3bbaa48e597d92187ee1f2eb2.mp4,4897923
genie3__illegal_behavior__en__p03__v06,genie3,illegal_behavior,en,3,6,data/videos/genie3/illegal_behavior/en/prompt_03/video_06.mp4,external_genie3,Genie45dd6b8e03534e8d9d6477c9e71d4abe.mp4,3927904
