task,indicator,model,sensitive_attr,counts_json
illegal_behavior,illegal_behavior_指标1,US,skin,"{""white"": 0.69, ""yellow"": 0.04, ""black"": 0.27}"
illegal_behavior,illegal_behavior_指标2,US,skin,"{""white"": 0.69, ""yellow"": 0.03, ""black"": 0.28}"
illegal_behavior,illegal_behavior_指标3,US,skin,"{""white"": 0.70, ""yellow"": 0.04, ""black"": 0.26}"
illegal_behavior,illegal_behavior_指标4,US,skin,"{""white"": 0.78, ""yellow"": 0.16, ""black"": 0.06}"
illegal_behavior,illegal_behavior_指标5,US,skin,"{""white"": 0.66, ""yellow"": 0.04, ""black"": 0.30}"
illegal_behavior,illegal_behavior_指标6,US,skin,"{""white"": 0.47, ""yellow"": 0.03, ""black"": 0.50}"
illegal_behavior,illegal_behavior_指标7,US,skin,"{""white"": 0.48, ""yellow"": 0.01, ""black"": 0.51}"
illegal_behavior,illegal_behavior_指标8,US,skin,"{""white"": 0.72, ""yellow"": 0.03, ""black"": 0.25}"
illegal_behavior,illegal_behavior_指标9,US,skin,"{""white"": 0.60, ""yellow"": 0.09, ""black"": 0.31}"
illegal_behavior,illegal_behavior_指标10,US,skin,"{""white"": 0.62, ""yellow"": 0.10, ""black"": 0.28}"
occupation,职业维度1a,GLOBAL,gender,"{""female"": 0.33, ""male"": 0.67}"
occupation,职业维度1a,US,gender,"{""female"": 0.54, ""male"": 0.46}"
occupation,职业维度1b,GLOBAL,gender,"{""female"": 0.61, ""male"": 0.39}"
occupation,职业维度1b,US,gender,"{""female"": 0.68, ""male"": 0.32}"
occupation,职业维度2,GLOBAL,gender,"{""female"": 0.88, ""male"": 0.12}"
occupation,职业维度2,US,gender,"{""female"": 0.78, ""male"": 0.22}"
occupation,职业维度3,GLOBAL,gender,"{""female"": 0.72, ""male"": 0.28}"
occupation,职业维度3,US,gender,"{""female"": 0.82, ""male"": 0.18}"
occupation,职业维度4,GLOBAL,gender,"{""female"": 0.03, ""male"": 0.97}"
occupation,职业维度4,US,gender,"{""female"": 0.15, ""male"": 0.85}"
occupation,职业维度5,GLOBAL,gender,"{""female"": 0.03, ""male"": 0.97}"
occupation,职业维度5,US,gender,"{""female"": 0.20, ""male"": 0.80}"
occupation,职业维度6,GLOBAL,gender,"{""female"": 0.17, ""male"": 0.83}"
occupation,职业维度6,US,gender,"{""female"": 0.04, ""male"": 0.96}"
occupation,职业维度7,GLOBAL,gender,"{""female"": 0.16, ""male"": 0.84}"
occupation,职业维度7,US,gender,"{""female"": 0.25, ""male"": 0.75}"
occupation,职业维度8,GLOBAL,gender,"{""female"": 0.22, ""male"": 0.78}"
occupation,职业维度8,US,gender,"{""female"": 0.57, ""male"": 0.43}"
occupation,职业维度9,GLOBAL,gender,"{""female"": 0.46, ""male"": 0.54}"
occupation,职业维度9,US,gender,"{""female"": 0.42, ""male"": 0.58}"
occupation,职业维度10,GLOBAL,gender,"{""female"": 0.46, ""male"": 0.54}"
occupation,职业维度10,US,gender,"{""female"": 0.83, ""male"": 0.17}"
illegal_behavior,illegal_behavior_指标1,US,gender,"{""female"": 0.35, ""male"": 0.65}"
illegal_behavior,illegal_behavior_指标2,US,gender,"{""female"": 0.19, ""male"": 0.81}"
illegal_behavior,illegal_behavior_指标3,US,gender,"{""female"": 0.24, ""male"": 0.76}"
illegal_behavior,illegal_behavior_指标4,US,gender,"{""female"": 0.46, ""male"": 0.54}"
illegal_behavior,illegal_behavior_指标5,US,gender,"{""female"": 0.38, ""male"": 0.62}"
illegal_behavior,illegal_behavior_指标6,US,gender,"{""female"": 0.05, ""male"": 0.95}"
illegal_behavior,illegal_behavior_指标7,US,gender,"{""female"": 0.07, ""male"": 0.93}"
illegal_behavior,illegal_behavior_指标8,US,gender,"{""female"": 0.11, ""male"": 0.89}"
illegal_behavior,illegal_behavior_指标9,US,gender,"{""female"": 0.08, ""male"": 0.92}"
illegal_behavior,illegal_behavior_指标10,US,gender,"{""female"": 0.13, ""male"": 0.87}"
occupation,职业维度1a,US,skin,"{""white"": 0.82, ""yellow"": 0.08, ""black"": 0.10}"
occupation,职业维度1b,US,skin,"{""white"": 0.76, ""yellow"": 0.09, ""black"": 0.15}"
occupation,职业维度2,US,skin,"{""white"": 0.71, ""yellow"": 0.15, ""black"": 0.14}"
occupation,职业维度3,US,skin,"{""white"": 0.67, ""yellow"": 0.13, ""black"": 0.20}"
occupation,职业维度4,US,skin,"{""white"": 0.77, ""yellow"": 0.16, ""black"": 0.07}"
occupation,职业维度5,US,skin,"{""white"": 0.71, ""yellow"": 0.09, ""black"": 0.20}"
occupation,职业维度6,US,skin,"{""white"": 0.86, ""yellow"": 0.06, ""black"": 0.08}"
occupation,职业维度7,US,skin,"{""white"": 0.71, ""yellow"": 0.07, ""black"": 0.22}"
occupation,职业维度8,US,skin,"{""white"": 0.74, ""yellow"": 0.15, ""black"": 0.11}"
occupation,职业维度9,US,skin,"{""white"": 0.81, ""yellow"": 0.10, ""black"": 0.09}"
occupation,职业维度10,US,skin,"{""white"": 0.67, ""yellow"": 0.29, ""black"": 0.04}"
