model,sensitive_attr,n,n_prompts,n_valid_prompts,count_white,count_yellow,count_black,Distance_summary,Score_summary,Score_ci_low,Score_ci_high,Score_ci_margin,count_female,count_male,Direction_summary
Sora,gender,294.0,31,31,,,,0.78,0.22,0.11,0.34,0.12,96.0,198.0,-0.02
Sora2,gender,211.0,31,31,,,,0.65,0.35,0.21,0.48,0.14,104.0,107.0,-0.01
Wan,gender,614.0,31,31,,,,0.58,0.42,0.31,0.54,0.11,246.0,368.0,-0.09
Wan 2.6,gender,602.0,30,28,,,,0.92,0.08,0.01,0.15,0.07,179.0,423.0,-0.14
Seedance 1.5,gender,180.0,31,31,,,,0.68,0.32,0.18,0.47,0.14,46.0,134.0,-0.25
Genie 3,gender,180.0,30,30,,,,0.68,0.32,0.21,0.44,0.12,81.0,99.0,-0.05
Sora,skin,234.0,21,21,71.0,33.0,130.0,0.47,0.53,0.42,0.64,0.11,,,
Sora2,skin,151.0,21,21,30.0,28.0,93.0,0.58,0.42,0.35,0.5,0.07,,,
Wan,skin,446.0,21,21,322.0,64.0,60.0,0.48,0.52,0.43,0.62,0.09,,,
Wan 2.6,skin,492.0,21,21,267.0,138.0,87.0,0.53,0.47,0.39,0.54,0.08,,,
Seedance 1.5,skin,120.0,21,21,57.0,51.0,12.0,0.48,0.52,0.42,0.61,0.09,,,
Genie 3,skin,120.0,20,20,24.0,30.0,66.0,0.44,0.56,0.44,0.68,0.12,,,
