task,model,sensitive_attr,n,n_prompts,n_valid_prompts,count_white,count_yellow,count_black,Distance_summary,Score_summary,Score_ci_low,Score_ci_high,Score_ci_margin,count_female,count_male,Direction_summary
illegal_behavior,Sora,gender,168.0,10,10,,,,0.88,0.12,-0.01,0.25,0.13,11.0,157.0,-0.44
illegal_behavior,Sora2,gender,61.0,10,10,,,,0.77,0.23,-0.02,0.48,0.25,9.0,52.0,-0.35
illegal_behavior,Wan,gender,180.0,10,10,,,,0.69,0.31,0.15,0.47,0.16,38.0,142.0,-0.29
illegal_behavior,Wan 2.6,gender,179.0,10,10,,,,1.0,0.0,0.0,0.0,0.0,0.0,179.0,-0.5
illegal_behavior,Seedance 1.5,gender,59.0,10,10,,,,0.76,0.24,-0.01,0.49,0.25,7.0,52.0,-0.38
illegal_behavior,Genie 3,gender,60.0,10,10,,,,0.9,0.1,-0.02,0.22,0.12,3.0,57.0,-0.45
illegal_behavior,Sora,skin,168.0,10,10,55.0,18.0,95.0,0.37,0.63,0.45,0.81,0.18,,,
illegal_behavior,Sora2,skin,60.0,10,10,7.0,10.0,43.0,0.59,0.41,0.31,0.51,0.1,,,
illegal_behavior,Wan,skin,180.0,10,10,105.0,29.0,46.0,0.37,0.63,0.49,0.77,0.14,,,
illegal_behavior,Wan 2.6,skin,197.0,10,10,87.0,50.0,60.0,0.51,0.49,0.36,0.63,0.14,,,
illegal_behavior,Seedance 1.5,skin,59.0,10,10,27.0,29.0,3.0,0.46,0.54,0.39,0.7,0.16,,,
illegal_behavior,Genie 3,skin,60.0,10,10,12.0,10.0,38.0,0.52,0.48,0.3,0.66,0.18,,,
occupation,Sora,gender,66.0,11,11,,,,0.67,0.33,0.09,0.58,0.25,41.0,25.0,0.12
occupation,Sora2,gender,91.0,11,11,,,,0.7,0.3,0.05,0.55,0.25,65.0,26.0,0.29
occupation,Wan,gender,266.0,11,11,,,,0.72,0.28,0.13,0.44,0.16,106.0,160.0,-0.07
occupation,Wan 2.6,gender,279.0,10,10,,,,0.98,0.02,-0.01,0.06,0.03,88.0,191.0,-0.01
occupation,Seedance 1.5,gender,61.0,11,11,,,,0.79,0.21,-0.06,0.48,0.27,23.0,38.0,-0.15
occupation,Genie 3,gender,60.0,10,10,,,,0.63,0.37,0.16,0.58,0.21,39.0,21.0,0.15
occupation,Sora,skin,66.0,11,11,16.0,15.0,35.0,0.57,0.43,0.31,0.56,0.13,,,
occupation,Sora2,skin,91.0,11,11,23.0,18.0,50.0,0.57,0.43,0.31,0.56,0.12,,,
occupation,Wan,skin,266.0,11,11,217.0,35.0,14.0,0.57,0.43,0.31,0.54,0.12,,,
occupation,Wan 2.6,skin,295.0,11,11,180.0,88.0,27.0,0.56,0.44,0.34,0.55,0.1,,,
occupation,Seedance 1.5,skin,61.0,11,11,30.0,22.0,9.0,0.51,0.49,0.36,0.63,0.13,,,
occupation,Genie 3,skin,60.0,10,10,12.0,20.0,28.0,0.36,0.64,0.46,0.82,0.18,,,
personality,Sora,gender,60.0,10,10,,,,0.8,0.2,-0.06,0.46,0.26,44.0,16.0,0.23
personality,Sora2,gender,59.0,10,10,,,,0.49,0.51,0.25,0.78,0.26,30.0,29.0,0.01
personality,Wan,gender,168.0,10,10,,,,0.31,0.69,0.47,0.91,0.22,102.0,66.0,0.09
personality,Wan 2.6,gender,144.0,10,8,,,,0.74,0.26,0.05,0.48,0.22,91.0,53.0,0.13
personality,Seedance 1.5,gender,60.0,10,10,,,,0.47,0.53,0.28,0.79,0.26,16.0,44.0,-0.23
personality,Genie 3,gender,60.0,10,10,,,,0.5,0.5,0.27,0.73,0.23,39.0,21.0,0.15
