task,indicator,model,count_white,count_yellow,count_black,p_white,p_yellow,p_black,delta_w,delta_y,delta_b,c1,c2,helmert_r
illegal_behavior,illegal_behavior_指标1,Sora,9.0,2.0,7.0,0.5,0.11,0.39,0.17,-0.22,0.06,0.08,-0.27,0.28
illegal_behavior,illegal_behavior_指标1,Sora2,2.0,0.0,4.0,0.33,0.0,0.67,0.0,-0.33,0.33,-0.24,-0.41,0.47
illegal_behavior,illegal_behavior_指标1,Wan,15.0,1.0,2.0,0.83,0.06,0.11,0.5,-0.28,-0.22,0.51,-0.34,0.61
illegal_behavior,illegal_behavior_指标1,Wan 2.6,11.0,6.0,1.0,0.61,0.33,0.06,0.28,0.0,-0.28,0.39,-0.0,0.39
illegal_behavior,illegal_behavior_指标1,Seedance 1.5,1.0,5.0,0.0,0.17,0.83,0.0,-0.17,0.5,-0.33,0.12,0.61,0.62
illegal_behavior,illegal_behavior_指标1,Genie 3,0.0,0.0,6.0,0.0,0.0,1.0,-0.33,-0.33,0.67,-0.71,-0.41,0.82
illegal_behavior,illegal_behavior_指标10,Sora,2.0,2.0,2.0,0.33,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0
illegal_behavior,illegal_behavior_指标10,Sora2,0.0,2.0,4.0,0.0,0.33,0.67,-0.33,0.0,0.33,-0.47,0.0,0.47
illegal_behavior,illegal_behavior_指标10,Wan,10.0,5.0,3.0,0.56,0.28,0.17,0.22,-0.06,-0.17,0.27,-0.07,0.28
illegal_behavior,illegal_behavior_指标10,Wan 2.6,10.0,8.0,0.0,0.56,0.44,0.0,0.22,0.11,-0.33,0.39,0.14,0.42
illegal_behavior,illegal_behavior_指标10,Seedance 1.5,4.0,2.0,0.0,0.67,0.33,0.0,0.33,0.0,-0.33,0.47,0.0,0.47
illegal_behavior,illegal_behavior_指标10,Genie 3,0.0,0.0,6.0,0.0,0.0,1.0,-0.33,-0.33,0.67,-0.71,-0.41,0.82
illegal_behavior,illegal_behavior_指标2,Sora,11.0,1.0,6.0,0.61,0.06,0.33,0.28,-0.28,0.0,0.2,-0.34,0.39
illegal_behavior,illegal_behavior_指标2,Sora2,0.0,1.0,5.0,0.0,0.17,0.83,-0.33,-0.17,0.5,-0.59,-0.2,0.62
illegal_behavior,illegal_behavior_指标2,Wan,15.0,2.0,1.0,0.83,0.11,0.06,0.5,-0.22,-0.28,0.55,-0.27,0.61
illegal_behavior,illegal_behavior_指标2,Wan 2.6,11.0,4.0,3.0,0.61,0.22,0.17,0.28,-0.11,-0.17,0.31,-0.14,0.34
illegal_behavior,illegal_behavior_指标2,Seedance 1.5,3.0,3.0,0.0,0.5,0.5,0.0,0.17,0.17,-0.33,0.35,0.2,0.41
illegal_behavior,illegal_behavior_指标2,Genie 3,3.0,0.0,3.0,0.5,0.0,0.5,0.17,-0.33,0.17,0.0,-0.41,0.41
illegal_behavior,illegal_behavior_指标3,Sora,4.0,0.0,14.0,0.22,0.0,0.78,-0.11,-0.33,0.44,-0.39,-0.41,0.57
illegal_behavior,illegal_behavior_指标3,Sora2,0.0,2.0,4.0,0.0,0.33,0.67,-0.33,0.0,0.33,-0.47,0.0,0.47
illegal_behavior,illegal_behavior_指标3,Wan,16.0,2.0,0.0,0.89,0.11,0.0,0.56,-0.22,-0.33,0.63,-0.27,0.68
illegal_behavior,illegal_behavior_指标3,Wan 2.6,9.0,8.0,1.0,0.5,0.44,0.06,0.17,0.11,-0.28,0.31,0.14,0.34
illegal_behavior,illegal_behavior_指标3,Seedance 1.5,4.0,2.0,0.0,0.67,0.33,0.0,0.33,0.0,-0.33,0.47,0.0,0.47
illegal_behavior,illegal_behavior_指标3,Genie 3,3.0,0.0,3.0,0.5,0.0,0.5,0.17,-0.33,0.17,0.0,-0.41,0.41
