task,model,n_prompts,mean_c1,mean_c2,mean_helmert_r,mean_delta_w,mean_delta_y,mean_delta_b
illegal_behavior,Sora,10,-0.16,-0.26,0.37,-0.01,-0.21,0.22
illegal_behavior,Sora2,10,-0.42,-0.2,0.59,-0.22,-0.17,0.38
illegal_behavior,Wan,10,0.23,-0.21,0.37,0.25,-0.17,-0.08
illegal_behavior,Wan 2.6,10,0.11,-0.07,0.51,0.1,-0.05,-0.05
illegal_behavior,Seedance 1.5,10,0.29,0.2,0.46,0.12,0.16,-0.28
illegal_behavior,Genie 3,10,-0.31,-0.2,0.52,-0.13,-0.17,0.3
occupation,Sora,11,-0.2,-0.13,0.57,-0.09,-0.11,0.2
occupation,Sora2,11,-0.38,-0.13,0.57,-0.22,-0.11,0.33
occupation,Wan,11,0.49,-0.2,0.57,0.43,-0.16,-0.26
occupation,Wan 2.6,11,0.26,0.05,0.56,0.16,0.04,-0.2
occupation,Seedance 1.5,11,0.28,0.0,0.51,0.2,0.0,-0.2
occupation,Genie 3,10,-0.19,0.0,0.36,-0.13,0.0,0.13
