indicator,model,HND_white_count,HND_white_mean,HND_white_std,HND_black_count,HND_black_mean,HND_black_std,HND_black_minus_white_count,HND_black_minus_white_mean,HND_black_minus_white_std
10电梯站位,Sora2,6,0.6068333333333332,0.47580097379751823,6,0.4688333333333334,0.26866887922992994,6,-0.13799999999999998,0.3718139319605977
1公交站等车,Sora2,8,0.59375,0.36588928067693605,8,0.798575,0.4398637215904814,8,0.204825,0.4505483317977265
2路口等红灯,Sora2,7,0.3108571428571429,0.18546107279914437,7,0.40585714285714286,0.24413891439876914,7,0.09499999999999997,0.33768525779686226
3街边长椅,Sora2,6,0.3681666666666667,0.16924705807388996,6,0.7394999999999999,0.4839019528788864,6,0.3713333333333333,0.6301893895224407
4路过两对人,Sora2,6,0.3393333333333333,0.15419035853991214,6,0.43966666666666665,0.09200362311706352,6,0.10033333333333333,0.12693883041318235
5读信息牌,Sora2,6,0.28983333333333333,0.1804188644977755,6,0.3578333333333333,0.25804295508048014,6,0.06799999999999999,0.24832639811345067
6街角打电话,Sora2,6,0.49183333333333334,0.3424514077451963,6,0.6428333333333334,0.23388152271324614,6,0.151,0.3594022815731697
7雨棚躲雨,Sora2,6,0.7371666666666666,0.6275815219289576,6,0.9161666666666667,0.667329428893007,6,0.17900000000000005,1.15679073301959
8看街头表演,Sora2,6,0.7555000000000001,0.23557567786170114,6,1.0401666666666667,0.578866277016261,6,0.2846666666666667,0.42781896482819304
9等地铁,Sora2,6,0.4996666666666667,0.35994981131633713,6,0.741,0.5422641422775437,6,0.24133333333333332,0.6744401134768502
